CMST_CASE_JUVENILE_REF,maincrime,crime,age,result,assist,Risk,Need,reci
521282,11,146,17,5,1,0.36,0.35,1
521283,13,123,17,18,1,0.29,0.27,1
521285,13,127,17,24,1,0.35,0.36,0
521287,13,123,15,18,1,0.36,0.36,1
521297,14,13,15,17,2,0.15,0.13,1
521299,13,122,17,2,1,0.31,0.33,1
521300,13,122,17,2,2,0.13,0.1,1
521303,15,158,17,31,2,0.18,0.17,1
521304,13,127,14,24,2,0.25,0.23,1
521312,21,1,17,27,2,0.26,0.26,1
521314,13,122,15,2,1,0.18,0.15,1
521316,13,122,13,2,2,0.26,0.23,0
521319,21,1,17,27,1,0.25,0.25,1
521324,13,127,17,24,0,0.35,0.35,0
521329,13,132,16,35,2,0.08,0.05,1
521330,13,123,15,18,0,0.37,0.37,0
521335,11,146,16,5,0,0.31,0.28,0
521337,15,158,17,31,2,0.14,0.14,0
521341,13,123,17,18,2,0.3,0.3,1
521348,13,127,16,24,1,0.29,0.3,0
521351,13,123,17,18,1,0.22,0.2,1
521368,11,146,17,5,1,0.24,0.22,1
521369,13,122,16,2,1,0.26,0.24,1
521371,13,123,16,18,2,0.27,0.25,1
521379,13,123,17,18,0,0.34,0.31,0
521382,13,122,17,2,2,0.29,0.27,0
521389,13,122,16,2,1,0.31,0.3,0
521390,11,145,18,33,2,0.33,0.33,1
521395,11,145,18,33,2,0.32,0.32,0
521397,11,146,15,5,1,0.36,0.35,1
521403,13,123,17,18,1,0.29,0.25,1
521404,13,123,15,18,1,0.31,0.29,1
521419,13,123,16,18,1,0.23,0.21,1
521422,13,122,17,2,0,0.33,0.32,1
521426,13,122,17,2,2,0.29,0.25,1
521428,13,122,15,2,0,0.38,0.37,1
521429,13,123,17,18,0,0.26,0.24,1
521435,13,131,15,4,2,0.18,0.16,1
521443,15,158,17,31,2,0.16,0.15,1
521451,13,132,17,35,2,0.25,0.24,1
521453,6,156,16,33,2,0.36,0.37,0
521464,10,50,17,23,2,0.25,0.21,1
521469,13,132,15,35,1,0.28,0.27,1
521476,13,123,14,18,2,0.35,0.33,1
521479,13,122,17,2,1,0.29,0.28,0
521480,13,123,17,18,2,0.25,0.23,1
521483,13,127,17,24,1,0.3,0.3,1
521490,13,122,13,2,1,0.25,0.24,1
521505,13,122,15,2,2,0.24,0.23,1
521506,34,117,17,2,2,0.2,0.18,1
521509,2,64,15,35,2,0.33,0.34,0
521510,13,125,16,19,2,0.34,0.3,1
521516,13,127,17,24,2,0.24,0.23,1
521524,13,123,17,18,1,0.28,0.28,1
521527,13,122,15,2,1,0.32,0.32,1
521528,10,48,16,31,2,0.27,0.27,0
521529,19,44,17,35,0,0.31,0.31,0
521531,11,146,17,5,1,0.27,0.25,1
521535,13,123,15,18,1,0.31,0.29,1
521543,11,146,16,5,1,0.36,0.33,0
521547,34,103,15,29,1,0.34,0.32,0
521550,13,122,16,2,2,0.4,0.4,1
521552,13,123,16,18,1,0.19,0.2,1
521553,22,98,17,30,2,0.31,0.32,1
521554,11,146,16,5,0,0.46,0.45,1
521558,13,123,17,18,1,0.27,0.24,0
521559,11,145,16,33,1,0.33,0.37,0
521566,13,123,14,18,2,0.31,0.3,1
521567,13,122,16,2,2,0.3,0.26,1
521576,13,130,17,2,1,0.31,0.29,0
521578,21,89,17,36,2,0.16,0.16,0
521589,13,136,16,27,2,0.27,0.26,0
521590,13,136,15,27,2,0.2,0.18,0
521594,10,16,17,33,2,0.24,0.2,0
521595,10,48,17,31,2,0.23,0.21,1
521596,13,123,15,18,0,0.24,0.22,1
521598,34,103,15,29,2,0.21,0.19,1
521642,13,123,17,18,1,0.19,0.19,1
521643,11,144,17,14,2,0.48,0.46,1
521645,13,123,15,18,0,0.16,0.14,1
521647,13,123,17,18,1,0.29,0.27,1
521648,10,16,17,33,2,0.21,0.2,1
521649,21,89,17,36,1,0.23,0.22,1
521650,13,123,16,18,1,0.31,0.3,1
521651,13,123,17,18,1,0.33,0.28,0
521679,34,117,16,2,2,0.17,0.14,0
521682,13,122,15,2,2,0.14,0.13,1
521684,13,124,17,1,1,0.36,0.34,0
521685,34,117,17,2,1,0.3,0.28,1
521688,11,152,15,25,2,0.36,0.28,0
521689,13,132,16,35,1,0.24,0.23,1
521690,13,123,15,18,0,0.32,0.32,0
521692,34,117,17,2,2,0.24,0.23,1
521693,13,123,16,18,0,0.24,0.25,1
521696,0,88,16,30,2,0.45,0.45,0
521699,13,127,17,24,2,0.41,0.41,1
521700,13,122,17,2,1,0.27,0.26,1
521701,13,122,17,2,1,0.28,0.26,1
521704,13,123,17,18,1,0.25,0.23,1
521705,13,127,16,24,2,0.25,0.21,0
521707,11,146,17,5,2,0.26,0.23,1
521711,21,89,16,36,2,0.19,0.19,1
521717,13,122,16,2,2,0.31,0.29,1
521731,13,132,15,35,1,0.2,0.2,1
521735,13,127,16,24,2,0.26,0.25,1
521736,13,128,16,35,1,0.28,0.27,0
521737,13,122,16,2,2,0.27,0.26,1
521740,13,123,16,18,2,0.31,0.3,1
521741,13,127,14,24,1,0.35,0.32,0
521743,13,122,15,2,2,0.09,0.07,1
521745,13,127,16,24,1,0.15,0.15,1
521746,13,123,17,18,0,0.32,0.31,1
521749,13,123,17,18,1,0.31,0.26,0
521752,13,127,17,24,2,0.16,0.15,1
521753,11,146,17,5,2,0.29,0.28,1
521759,13,122,17,2,2,0.35,0.33,0
521760,13,123,17,18,1,0.34,0.32,1
521761,13,123,16,18,1,0.29,0.28,1
521762,11,31,16,35,2,0.23,0.23,1
521764,13,127,17,24,2,0.36,0.3,1
521765,13,127,16,24,2,0.28,0.27,0
521766,13,127,16,24,1,0.27,0.29,1
521767,10,104,17,32,2,0.19,0.15,1
521769,13,123,15,18,1,0.45,0.43,0
521771,13,127,17,24,2,0.31,0.31,1
521773,13,122,17,2,1,0.32,0.31,1
521776,13,123,15,18,2,0.35,0.33,1
521781,13,123,17,18,1,0.25,0.24,1
521782,13,122,17,2,2,0.26,0.23,1
521783,13,123,17,18,1,0.29,0.28,1
521787,13,123,16,18,0,0.34,0.32,1
521795,13,123,14,18,1,0.44,0.45,0
521796,13,123,14,18,1,0.37,0.35,1
521797,13,123,15,18,2,0.36,0.35,1
521801,9,114,17,36,2,0.33,0.29,0
521803,13,127,17,24,2,0.32,0.32,1
521808,13,123,17,18,2,0.23,0.21,1
521812,10,48,17,31,2,0.22,0.22,1
521813,15,158,15,31,2,0.31,0.32,1
521815,13,127,14,24,2,0.36,0.34,0
521818,10,48,15,31,2,0.3,0.29,0
521819,13,122,17,2,2,0.16,0.14,1
521821,14,112,16,37,2,0.36,0.35,0
521830,13,122,17,2,1,0.24,0.23,1
521842,13,125,17,19,1,0.21,0.18,1
521844,13,132,16,35,1,0.3,0.3,1
521845,13,122,16,2,1,0.3,0.28,1
521846,13,122,17,2,2,0.39,0.35,0
521847,13,123,17,18,0,0.36,0.35,0
521862,13,127,16,24,2,0.25,0.26,1
521863,13,127,17,24,2,0.25,0.25,0
521869,13,123,16,18,1,0.24,0.22,1
521873,13,123,16,18,0,0.33,0.31,0
521874,13,123,16,18,2,0.36,0.32,1
521875,13,132,14,35,1,0.14,0.12,1
521877,13,122,17,2,2,0.24,0.2,0
521878,13,132,16,35,2,0.2,0.21,1
521879,13,132,14,35,2,0.24,0.22,1
521881,13,127,13,24,2,0.35,0.32,0
521882,0,81,16,35,2,0.14,0.13,1
521883,14,14,15,0,2,0.29,0.26,1
521884,13,135,16,13,1,0.18,0.16,1
521885,13,132,16,35,2,0.17,0.16,1
521887,13,132,14,35,2,0.25,0.23,1
521890,13,123,16,18,1,0.2,0.19,0
521891,13,122,17,2,1,0.25,0.25,1
521893,13,122,16,2,1,0.22,0.23,1
521894,18,2,15,33,2,0.27,0.27,0
521895,34,117,17,2,2,0.27,0.25,1
521898,14,13,17,17,2,0.25,0.23,1
521903,18,2,15,33,2,0.25,0.25,1
521904,13,123,17,18,1,0.35,0.33,0
521910,11,38,16,9,1,0.36,0.32,1
521912,34,117,15,2,2,0.3,0.28,1
521914,0,88,16,30,1,0.33,0.31,1
521917,10,104,17,32,2,0.46,0.42,0
521919,13,123,17,18,1,0.39,0.39,1
521923,10,30,15,39,2,0.19,0.14,1
521924,13,123,17,18,1,0.38,0.37,1
521925,13,123,17,18,1,0.27,0.26,1
521928,11,147,16,3,2,0.38,0.38,0
521929,7,119,14,31,2,0.31,0.27,0
521930,13,127,17,24,1,0.4,0.4,1
521934,15,42,16,31,1,0.23,0.23,1
521937,13,122,16,2,1,0.31,0.3,1
521939,34,103,16,29,2,0.29,0.26,1
521941,14,112,16,37,2,0.13,0.11,1
521946,15,42,16,31,2,0.11,0.1,1
521947,13,122,17,2,2,0.36,0.34,1
521953,13,122,16,2,0,0.36,0.37,1
521955,13,127,17,24,2,0.24,0.25,0
521958,13,123,16,18,0,0.4,0.38,1
521968,15,42,16,31,2,0.14,0.13,1
521969,13,122,16,2,2,0.25,0.23,1
521970,13,122,17,2,1,0.23,0.21,1
521973,13,123,16,18,1,0.32,0.31,1
521979,21,89,17,36,1,0.17,0.16,0
521981,13,123,14,18,0,0.37,0.36,1
521982,13,123,16,18,0,0.36,0.34,1
521983,2,64,17,35,2,0.21,0.18,1
521984,13,123,17,18,1,0.35,0.33,1
521986,11,146,15,5,1,0.2,0.18,1
521988,13,122,17,2,2,0.42,0.43,1
521994,13,122,17,2,1,0.36,0.34,0
522009,13,122,17,2,0,0.31,0.31,1
522014,13,122,17,2,1,0.31,0.31,1
522021,18,2,17,33,2,0.28,0.29,1
522029,13,123,16,18,2,0.38,0.39,1
522030,21,0,17,34,2,0.31,0.32,1
522031,34,117,15,2,2,0.31,0.3,1
522034,11,146,15,5,2,0.27,0.26,1
522035,11,146,13,5,2,0.34,0.33,1
522036,13,123,16,18,2,0.4,0.4,0
522037,10,15,17,29,2,0.31,0.29,1
522038,10,50,17,23,2,0.31,0.25,1
522040,13,125,16,19,2,0.31,0.29,0
522051,13,122,17,2,0,0.34,0.34,1
522069,13,122,16,2,1,0.53,0.57,1
522076,21,89,16,36,2,0.07,0.05,1
522079,13,123,16,18,2,0.13,0.1,1
522081,13,123,17,18,2,0.31,0.29,1
522087,18,2,17,33,1,0.31,0.31,1
522088,19,44,16,35,1,0.33,0.33,1
522089,13,127,17,24,2,0.26,0.23,1
522090,11,147,17,3,2,0.27,0.27,1
522092,18,2,16,33,2,0.19,0.2,1
522093,13,123,15,18,1,0.29,0.27,1
522094,14,23,15,17,2,0.23,0.14,1
522095,13,123,17,18,2,0.34,0.32,1
522096,34,117,17,2,2,0.31,0.29,1
522097,34,103,17,29,2,0.25,0.23,1
522098,34,117,15,2,2,0.24,0.22,1
522124,11,34,17,33,2,0.26,0.26,0
522125,14,13,17,17,1,0.37,0.37,0
522141,10,50,15,23,1,0.42,0.4,1
522143,10,50,14,23,1,0.43,0.38,1
522144,3,107,16,37,2,0.27,0.27,1
522148,7,166,15,27,2,0.34,0.33,0
522150,13,122,17,2,1,0.31,0.29,1
522154,13,122,16,2,1,0.29,0.26,1
522157,3,110,16,21,2,0.3,0.29,1
522161,13,123,16,18,2,0.34,0.33,1
522162,13,127,17,24,1,0.3,0.31,1
522163,13,123,17,18,2,0.33,0.3,0
522165,13,122,15,2,1,0.39,0.36,1
522166,13,123,17,18,0,0.31,0.29,1
522167,2,175,17,27,1,0.33,0.34,0
522169,13,122,12,2,2,0.3,0.28,1
522171,13,127,17,24,2,0.24,0.24,1
522178,11,146,17,5,2,0.26,0.26,1
522184,13,123,15,18,2,0.31,0.3,1
522190,14,111,15,35,0,0.31,0.3,1
522199,13,123,17,18,0,0.31,0.31,0
522200,13,123,17,18,0,0.31,0.3,0
522201,13,123,17,18,1,0.24,0.23,1
522204,13,122,15,2,1,0.2,0.2,1
522209,13,127,16,24,0,0.41,0.41,1
522212,13,127,16,24,1,0.32,0.31,1
522217,10,48,16,31,2,0.36,0.35,1
522226,13,123,17,18,2,0.27,0.23,0
522239,34,117,17,2,2,0.32,0.31,1
522246,13,127,17,24,1,0.24,0.23,1
522248,13,122,17,2,2,0.19,0.17,1
522252,13,123,16,18,1,0.31,0.3,1
522271,13,123,16,18,1,0.31,0.31,1
522282,14,13,14,17,2,0.27,0.25,1
522294,13,123,17,18,0,0.27,0.25,1
522316,13,123,17,18,2,0.42,0.41,1
522318,13,123,16,18,1,0.25,0.24,1
522319,13,122,16,2,2,0.3,0.29,1
522324,13,122,17,2,0,0.44,0.43,0
522327,13,123,17,18,1,0.3,0.29,0
522328,13,123,17,18,0,0.29,0.25,0
522332,13,123,17,18,2,0.25,0.23,1
522334,13,123,16,18,0,0.4,0.41,1
522336,11,145,17,33,0,0.36,0.35,1
522339,13,127,17,24,2,0.34,0.36,0
522342,13,123,17,18,1,0.24,0.23,1
522344,11,37,17,20,2,0.21,0.22,1
522346,13,122,15,2,1,0.26,0.24,1
522351,13,123,17,18,0,0.45,0.43,0
522369,13,127,16,24,2,0.1,0.09,1
522373,13,132,15,35,1,0.21,0.21,1
522385,13,123,17,18,2,0.39,0.38,1
522387,13,123,16,18,2,0.47,0.45,1
522392,10,50,17,23,2,0.27,0.22,1
522408,13,122,15,2,0,0.3,0.28,1
522410,13,127,14,24,2,0.25,0.23,0
522411,13,122,17,2,1,0.23,0.22,1
522422,13,122,17,2,1,0.25,0.23,1
522427,13,132,14,35,0,0.31,0.31,1
522429,13,122,17,2,0,0.31,0.3,1
522434,10,29,17,40,1,0.31,0.28,1
522447,13,122,17,2,2,0.28,0.26,1
522448,13,122,17,2,1,0.29,0.27,1
522457,11,146,16,5,0,0.43,0.41,1
522471,11,146,11,5,1,0.31,0.27,0
522473,13,123,16,18,1,0.34,0.33,1
522474,13,123,16,18,2,0.28,0.24,1
522498,11,146,15,5,2,0.4,0.38,0
522504,34,103,16,29,1,0.26,0.24,0
522510,34,103,15,29,1,0.31,0.29,0
522514,13,127,17,24,2,0.19,0.19,1
522516,2,64,18,35,1,0.34,0.31,1
522520,10,104,17,32,2,0.19,0.17,1
522536,14,13,14,17,2,0.25,0.22,1
522545,13,122,16,2,0,0.32,0.32,1
522547,13,122,17,2,1,0.29,0.27,1
522549,21,89,16,36,2,0.24,0.24,1
522552,10,50,17,23,2,0.23,0.15,1
522557,13,122,17,2,2,0.33,0.32,1
522567,13,132,16,35,1,0.26,0.25,1
522568,11,145,17,33,2,0.32,0.31,1
522569,11,145,17,33,2,0.34,0.33,1
522570,11,146,16,5,1,0.25,0.23,1
522571,34,117,16,2,2,0.21,0.19,1
522572,11,146,17,5,2,0.28,0.27,1
522573,11,146,17,5,0,0.21,0.19,1
522574,11,146,17,5,2,0.2,0.18,1
522575,11,146,15,5,2,0.28,0.26,1
522578,13,123,17,18,2,0.35,0.35,1
522581,19,44,15,35,2,0.2,0.21,1
522587,13,123,16,18,2,0.37,0.37,1
522590,13,122,16,2,0,0.41,0.41,0
522593,11,145,17,33,2,0.23,0.22,1
522594,11,146,15,5,1,0.27,0.26,1
522599,13,122,14,2,2,0.29,0.26,1
522602,13,122,17,2,1,0.31,0.28,1
522603,16,173,14,31,1,0.33,0.32,1
522604,13,122,17,2,0,0.34,0.33,1
522606,34,117,17,2,1,0.23,0.21,1
522608,13,123,16,18,1,0.34,0.31,1
522609,13,123,17,18,0,0.34,0.32,0
522610,13,123,14,18,0,0.36,0.35,1
522611,34,117,16,2,2,0.29,0.26,1
522622,14,13,15,17,2,0.31,0.3,1
522634,13,132,16,35,1,0.36,0.36,1
522635,13,123,16,18,1,0.22,0.2,1
522638,10,48,15,31,1,0.34,0.32,1
522642,19,44,17,35,1,0.22,0.23,1
522645,10,16,14,33,2,0.09,0.09,1
522646,13,123,15,18,1,0.32,0.3,1
522653,10,48,15,31,2,0.22,0.21,1
522655,18,2,17,33,2,0.17,0.16,1
522664,13,127,16,24,2,0.23,0.23,0
522670,13,123,16,18,0,0.26,0.24,0
522674,13,127,16,24,1,0.19,0.19,1
522679,13,123,17,18,1,0.31,0.29,1
522681,10,29,17,40,1,0.22,0.16,0
522687,11,146,17,5,1,0.22,0.2,0
522689,11,146,17,5,2,0.21,0.19,0
522690,11,146,15,5,2,0.31,0.29,0
522691,11,146,15,5,2,0.28,0.26,0
522695,13,134,17,35,1,0.36,0.37,1
522708,11,146,15,5,1,0.37,0.36,1
522710,11,146,15,5,1,0.37,0.36,0
522716,18,2,17,33,1,0.28,0.27,1
522717,10,50,16,23,2,0.32,0.27,1
522719,10,50,16,23,2,0.22,0.15,1
522722,13,122,16,2,1,0.29,0.27,1
522724,13,123,16,18,0,0.42,0.4,1
522727,10,50,16,23,2,0.23,0.15,1
522729,11,146,15,5,2,0.22,0.21,1
522732,13,122,15,2,2,0.32,0.28,0
522734,18,2,17,33,2,0.19,0.17,1
522735,13,127,26,24,1,0.24,0.21,1
522736,13,132,16,35,0,0.25,0.25,1
522737,13,130,17,2,2,0.34,0.32,1
522746,13,122,17,2,2,0.3,0.28,1
522752,13,127,15,24,1,0.34,0.32,1
522753,13,122,14,2,2,0.36,0.32,0
522758,13,123,16,18,1,0.33,0.33,1
522762,13,123,17,18,2,0.31,0.32,0
522763,13,127,17,24,1,0.28,0.28,1
522765,7,166,17,27,0,0.38,0.34,0
522766,7,119,17,31,2,0.17,0.14,0
522768,14,13,15,17,2,0.25,0.24,1
522776,18,2,17,33,2,0.31,0.3,1
522778,18,2,16,33,2,0.21,0.19,1
522779,11,146,14,5,1,0.38,0.38,0
522780,11,146,14,5,1,0.38,0.38,0
522786,13,123,17,18,2,0.25,0.24,1
522788,13,123,16,18,0,0.36,0.34,1
522790,13,127,16,24,2,0.28,0.27,1
522795,13,122,15,2,2,0.17,0.15,1
522797,3,110,15,21,2,0.14,0.12,1
522798,13,128,17,35,1,0.25,0.24,1
522801,13,134,17,35,1,0.24,0.22,0
522802,10,48,17,31,0,0.36,0.41,1
522804,10,50,17,23,1,0.29,0.25,1
522805,13,127,16,24,0,0.34,0.32,0
522806,13,122,15,2,2,0.22,0.21,0
522809,18,2,17,33,2,0.07,0.05,1
522826,34,117,15,2,1,0.34,0.33,1
522831,11,39,17,7,1,0.47,0.42,0
522839,0,81,16,35,2,0.23,0.23,1
522840,19,44,17,35,2,0.19,0.19,0
522841,13,123,17,18,2,0.31,0.32,1
522843,11,145,16,33,0,0.25,0.25,1
522844,13,122,17,2,0,0.43,0.42,1
522846,13,123,16,18,1,0.25,0.24,1
522847,13,122,15,2,2,0.17,0.16,1
522849,13,122,14,2,1,0.33,0.32,1
522851,13,127,15,24,2,0.24,0.23,1
522885,2,64,13,35,2,0.33,0.31,1
522889,13,123,17,18,1,0.31,0.3,1
522898,13,127,16,24,1,0.27,0.27,0
522899,13,127,16,24,0,0.39,0.39,0
522909,0,176,17,48,2,0.3,0.27,0
522912,11,146,14,5,2,0.36,0.36,0
522913,13,127,17,24,1,0.38,0.38,1
522915,13,127,17,24,1,0.36,0.35,1
522920,19,44,16,35,1,0.35,0.38,1
522926,13,123,15,18,0,0.32,0.32,1
522927,34,117,14,2,1,0.31,0.31,1
522931,26,176,17,48,2,0.12,0.07,0
522938,13,123,15,18,1,0.25,0.24,1
522946,13,123,15,18,2,0.26,0.24,1
522947,10,16,15,33,2,0.25,0.2,1
522967,13,132,13,35,2,0.38,0.38,1
522970,13,122,17,2,2,0.18,0.16,1
522973,0,88,17,30,0,0.33,0.32,1
522976,13,123,16,18,2,0.25,0.23,1
522979,13,122,17,2,1,0.37,0.36,1
522980,11,146,17,5,2,0.31,0.3,1
522985,11,146,17,5,2,0.23,0.21,1
522986,10,50,14,23,1,0.37,0.33,1
522987,10,50,14,23,1,0.33,0.31,1
522995,7,119,17,31,1,0.34,0.33,1
523007,3,107,16,37,2,0.2,0.18,1
523008,34,103,17,29,2,0.19,0.18,1
523015,13,127,13,24,1,0.3,0.31,0
523023,0,69,16,29,2,0.2,0.19,1
523024,13,122,16,2,1,0.45,0.44,1
523027,13,136,15,27,1,0.34,0.35,0
523028,10,48,16,31,2,0.14,0.12,1
523030,11,146,16,5,1,0.38,0.37,0
523031,11,146,14,5,1,0.44,0.4,1
523039,10,48,16,31,2,0.35,0.35,1
523041,13,123,17,18,0,0.39,0.39,0
523043,13,127,17,24,2,0.14,0.14,1
523046,34,117,17,2,2,0.25,0.24,1
523057,11,146,17,5,2,0.23,0.23,1
523063,13,122,15,2,2,0.37,0.37,1
523066,19,44,15,35,2,0.17,0.17,1
523067,19,44,15,35,1,0.28,0.3,1
523068,13,122,15,2,1,0.31,0.31,1
523069,11,146,14,5,2,0.17,0.13,1
523075,10,48,15,31,2,0.25,0.25,0
523076,2,175,15,27,2,0.33,0.32,0
523081,11,147,15,3,2,0.33,0.32,0
523085,13,127,14,24,1,0.29,0.26,0
523087,13,122,15,2,0,0.41,0.4,0
523088,28,106,16,29,0,0.24,0.22,1
523089,13,127,15,24,1,0.28,0.29,0
523090,11,145,16,33,2,0.25,0.25,1
523099,13,127,16,24,1,0.31,0.32,1
523100,14,56,16,29,1,0.32,0.32,1
523104,13,130,15,2,2,0.26,0.24,1
523105,0,81,17,35,2,0.25,0.24,1
523124,13,123,15,18,1,0.36,0.35,0
523131,13,123,17,18,0,0.22,0.2,1
523133,0,88,16,30,2,0.19,0.19,1
523135,14,23,17,17,2,0.36,0.34,1
523137,0,71,15,11,1,0.19,0.17,1
523141,10,15,16,29,2,0.31,0.3,1
523145,13,123,17,18,1,0.21,0.2,1
523158,13,122,14,2,1,0.36,0.33,0
523160,7,166,16,27,1,0.31,0.3,1
523161,13,132,17,35,2,0.23,0.22,1
523162,34,103,16,29,2,0.27,0.23,1
523164,34,103,16,29,2,0.2,0.19,1
523166,34,103,17,29,2,0.31,0.28,1
523169,34,117,15,2,2,0.19,0.17,1
523175,19,44,14,35,2,0.15,0.14,1
523181,0,72,15,11,0,0.32,0.31,1
523188,0,88,16,30,1,0.42,0.36,0
523206,10,29,17,40,1,0.19,0.14,0
523210,0,83,17,4,0,0.33,0.32,1
523214,11,146,15,5,1,0.31,0.3,1
523215,14,111,14,35,2,0.33,0.32,1
523216,13,127,17,24,2,0.18,0.17,1
523221,13,123,16,18,0,0.27,0.25,1
523223,0,88,17,30,1,0.29,0.27,1
523224,13,122,16,2,2,0.34,0.31,0
523225,34,103,17,29,1,0.35,0.34,1
523226,34,103,16,29,2,0.35,0.34,1
523227,0,83,17,4,2,0.28,0.27,1
523228,7,119,16,31,0,0.22,0.21,1
523229,13,122,16,2,2,0.36,0.35,1
523245,0,88,17,30,1,0.29,0.28,1
523247,0,88,15,30,1,0.31,0.31,1
523251,0,88,17,30,1,0.37,0.37,1
523253,0,88,16,30,2,0.27,0.27,1
523257,7,166,17,27,2,0.24,0.24,0
523258,13,122,17,2,1,0.37,0.36,1
523261,13,122,14,2,2,0.28,0.24,1
523264,13,122,16,2,2,0.31,0.3,0
523267,13,123,16,18,1,0.32,0.31,1
523268,13,123,16,18,1,0.35,0.32,0
523289,11,37,14,20,2,0.28,0.25,0
523293,10,48,15,31,2,0.22,0.23,1
523296,0,88,17,30,2,0.13,0.11,1
523298,0,88,17,30,1,0.34,0.33,0
523302,13,122,17,2,1,0.19,0.18,1
523303,0,88,17,30,2,0.3,0.29,1
523304,0,88,17,30,0,0.36,0.35,1
523306,0,176,15,48,0,0.36,0.35,1
523307,0,88,17,30,1,0.4,0.39,0
523309,7,166,17,27,1,0.27,0.25,1
523314,0,88,17,30,1,0.23,0.22,1
523321,10,104,14,32,1,0.27,0.24,1
523325,10,15,16,29,2,0.35,0.33,1
